Engine_Size,Horsepower,Weight,Doors,Seats,Fuel_Type,Vehicle_Category
1.0,70,180,0,2,Petrol,Bike
1.2,85,220,0,2,Petrol,Bike
1.5,100,250,0,2,Petrol,Bike
1.8,120,300,0,2,Electric,Bike
1.2,90,1100,4,5,Petrol,Car
1.4,100,1200,4,5,Petrol,Car
1.6,120,1300,4,5,Diesel,Car
1.8,140,1400,4,5,Hybrid,Car
2.0,150,1500,4,5,Petrol,Car
2.2,170,1700,4,7,Diesel,SUV
2.5,190,1900,4,7,Diesel,SUV
3.0,220,2100,4,7,Hybrid,SUV
4.0,300,4500,2,2,Diesel,Truck
5.0,400,6000,2,2,Diesel,Truck
6.0,450,7000,2,3,Diesel,Truck
2.5,180,5000,2,40,Diesel,Bus
3.5,220,7000,2,50,Diesel,Bus
4.0,250,8000,2,55,Diesel,Bus
2.0,160,1600,4,5,Electric,Car
2.2,180,1800,4,5,Hybrid,Car
